activation,units_input,num_layers,units_0,units_1,optimizer,units_2,units_3,units_4,score
elu,672,5,608,672,adam,1024,704,704.0,0.8968333601951599
tanh,672,4,992,256,adam,480,544,896.0,0.8922500014305115
relu,576,4,704,640,rmsprop,800,1024,,0.8896666765213013
sigmoid,608,4,544,512,rmsprop,128,128,,0.8844166398048401
sigmoid,1024,5,416,416,rmsprop,704,800,128.0,0.8823333382606506
tanh,992,5,288,1024,SGD,832,128,1024.0,0.8585833311080933
elu,608,4,352,512,SGD,480,928,320.0,0.8565833568572998
elu,928,2,288,608,SGD,192,512,192.0,0.8546666502952576
relu,640,2,896,864,SGD,160,544,896.0,0.8541666865348816
elu,704,2,352,992,SGD,768,192,256.0,0.8487499952316284
